 Date,CCMP_EC Open,CCMP_EC Low,CCMP_EC High,CCMP_EC Close,CCMP_EC Adj. Close
1/30/2009,"1,519.46","1,472.51","1,523.45","1,476.42","1,476.42"
1/29/2009,"1,537.47","1,505.70","1,537.84","1,507.84","1,507.84"
1/28/2009,"1,530.48","1,530.03","1,568.33","1,558.34","1,558.34"
1/27/2009,"1,494.12","1,488.81","1,513.21","1,504.90","1,504.90"
1/26/2009,"1,479.98","1,470.81","1,514.38","1,489.46","1,489.46"
1/23/2009,"1,440.78","1,434.08","1,495.27","1,477.29","1,477.29"
1/22/2009,"1,470.85","1,444.08","1,492.47","1,465.49","1,465.49"
1/21/2009,"1,466.40","1,444.90","1,507.52","1,507.07","1,507.07"
1/20/2009,"1,520.76","1,440.86","1,521.85","1,440.86","1,440.86"
1/16/2009,"1,532.47","1,490.35","1,538.82","1,529.33","1,529.33"
1/15/2009,"1,489.46","1,456.72","1,521.58","1,511.84","1,511.84"
1/14/2009,"1,521.71","1,485.26","1,528.65","1,489.64","1,489.64"
1/13/2009,"1,537.42","1,527.47","1,557.95","1,546.46","1,546.46"
1/12/2009,"1,573.45","1,528.00","1,573.46","1,538.79","1,538.79"
1/9/2009,"1,617.05","1,569.87","1,617.26","1,571.59","1,571.59"
1/8/2009,"1,590.25","1,584.28","1,617.01","1,617.01","1,617.01"
1/7/2009,"1,621.63","1,588.20","1,625.37","1,599.06","1,599.06"
1/6/2009,"1,642.37","1,636.25","1,665.63","1,652.38","1,652.38"
1/5/2009,"1,621.48","1,604.63","1,640.46","1,628.03","1,628.03"
1/2/2009,"1,578.87","1,571.98","1,636.03","1,632.21","1,632.21"
12/31/2008,"1,550.87","1,548.88","1,586.81","1,577.03","1,577.03"
12/30/2008,"1,521.18","1,517.26","1,550.70","1,550.70","1,550.70"
12/29/2008,"1,529.54","1,493.45","1,530.92","1,510.32","1,510.32"
12/26/2008,"1,531.20","1,518.97","1,532.13","1,530.24","1,530.24"
12/24/2008,"1,525.15","1,516.15","1,527.23","1,524.90","1,524.90"
12/23/2008,"1,539.37","1,512.54","1,548.44","1,521.54","1,521.54"
12/22/2008,"1,562.17","1,503.66","1,563.79","1,532.35","1,532.35"
12/19/2008,"1,572.75","1,557.05","1,593.35","1,564.32","1,564.32"
12/18/2008,"1,583.17","1,535.38","1,591.70","1,552.37","1,552.37"
12/17/2008,"1,568.88","1,560.05","1,598.33","1,579.31","1,579.31"
12/16/2008,"1,526.06","1,526.00","1,589.89","1,589.89","1,589.89"
12/15/2008,"1,544.16","1,491.36","1,544.16","1,508.34","1,508.34"
12/12/2008,"1,482.55","1,478.03","1,543.04","1,540.72","1,540.72"
12/11/2008,"1,548.47","1,501.70","1,568.61","1,507.88","1,507.88"
12/10/2008,"1,563.66","1,542.08","1,584.16","1,565.48","1,565.48"
12/9/2008,"1,546.54","1,538.25","1,602.92","1,547.34","1,547.34"
12/8/2008,"1,541.44","1,536.71","1,583.81","1,571.74","1,571.74"
12/5/2008,"1,426.93","1,404.80","1,510.39","1,509.31","1,509.31"
12/4/2008,"1,465.77","1,426.41","1,500.95","1,445.56","1,445.56"
12/3/2008,"1,416.03","1,414.04","1,493.06","1,492.38","1,492.38"
12/2/2008,"1,423.85","1,399.88","1,450.83","1,449.80","1,449.80"
12/1/2008,"1,496.09","1,398.07","1,496.24","1,398.07","1,398.07"
11/28/2008,"1,517.95","1,512.41","1,535.57","1,535.57","1,535.57"
11/26/2008,"1,441.21","1,441.21","1,532.10","1,532.10","1,532.10"
11/25/2008,"1,486.22","1,430.40","1,486.22","1,464.73","1,464.73"
11/24/2008,"1,410.14","1,397.19","1,480.41","1,472.02","1,472.02"
11/21/2008,"1,346.77","1,295.48","1,384.35","1,384.35","1,384.35"
11/20/2008,"1,373.77","1,314.90","1,414.43","1,316.12","1,316.12"
11/19/2008,"1,479.13","1,386.42","1,493.05","1,386.42","1,386.42"
11/18/2008,"1,488.93","1,429.92","1,498.42","1,483.27","1,483.27"
11/17/2008,"1,494.74","1,481.70","1,526.96","1,482.05","1,482.05"
11/14/2008,"1,560.59","1,513.09","1,587.76","1,516.85","1,516.85"
11/13/2008,"1,503.06","1,428.54","1,596.70","1,596.70","1,596.70"
11/12/2008,"1,555.17","1,499.21","1,562.78","1,499.21","1,499.21"
11/11/2008,"1,598.59","1,563.95","1,612.42","1,580.90","1,580.90"
11/10/2008,"1,680.67","1,603.33","1,680.67","1,616.74","1,616.74"
11/7/2008,"1,629.69","1,615.51","1,654.25","1,647.40","1,647.40"
11/6/2008,"1,659.57","1,603.87","1,676.92","1,608.70","1,608.70"
11/5/2008,"1,757.01","1,679.19","1,764.43","1,681.64","1,681.64"
11/4/2008,"1,761.09","1,739.81","1,785.84","1,780.12","1,780.12"
11/3/2008,"1,718.89","1,713.39","1,738.53","1,726.33","1,726.33"
10/31/2008,"1,684.71","1,673.32","1,742.54","1,720.95","1,720.95"
10/30/2008,"1,698.43","1,658.45","1,712.56","1,698.52","1,698.52"
10/29/2008,"1,643.98","1,622.01","1,705.51","1,657.21","1,657.21"
10/28/2008,"1,552.24","1,504.13","1,649.47","1,649.47","1,649.47"
10/27/2008,"1,528.12","1,503.81","1,574.54","1,505.90","1,505.90"
10/24/2008,"1,493.79","1,493.79","1,584.27","1,552.03","1,552.03"
10/23/2008,"1,621.11","1,533.55","1,645.50","1,603.91","1,603.91"
10/22/2008,"1,671.23","1,587.22","1,678.71","1,615.75","1,615.75"
10/21/2008,"1,741.84","1,695.12","1,768.54","1,696.68","1,696.68"
10/20/2008,"1,735.13","1,698.01","1,770.05","1,770.03","1,770.03"
10/17/2008,"1,678.78","1,670.28","1,782.58","1,711.29","1,711.29"
10/16/2008,"1,644.55","1,565.72","1,717.72","1,717.71","1,717.71"
10/15/2008,"1,754.62","1,628.33","1,761.23","1,628.33","1,628.33"
10/14/2008,"1,894.87","1,752.89","1,896.95","1,779.01","1,779.01"
10/13/2008,"1,734.60","1,715.74","1,844.25","1,844.25","1,844.25"
10/10/2008,"1,590.77","1,542.45","1,690.77","1,649.51","1,649.51"
10/9/2008,"1,766.25","1,634.88","1,787.41","1,645.12","1,645.12"
10/8/2008,"1,710.96","1,706.86","1,806.89","1,740.33","1,740.33"
10/7/2008,"1,867.97","1,754.88","1,886.35","1,754.88","1,754.88"
10/6/2008,"1,898.63","1,777.02","1,905.01","1,862.96","1,862.96"
10/3/2008,"2,005.92","1,947.19","2,046.81","1,947.39","1,947.39"
10/2/2008,"2,052.51","1,975.00","2,056.43","1,976.72","1,976.72"
10/1/2008,"2,075.10","2,046.06","2,083.20","2,069.40","2,069.40"
9/30/2008,"2,033.69","2,015.93","2,094.31","2,091.88","2,091.88"
9/29/2008,"2,147.16","1,983.73","2,152.69","1,983.73","1,983.73"
9/26/2008,"2,144.06","2,136.85","2,187.53","2,183.34","2,183.34"
9/25/2008,"2,172.26","2,167.06","2,210.74","2,186.57","2,186.57"
9/24/2008,"2,167.55","2,147.36","2,179.93","2,155.68","2,155.68"
9/23/2008,"2,190.71","2,151.77","2,209.62","2,153.33","2,153.33"
9/22/2008,"2,265.77","2,178.98","2,266.45","2,178.98","2,178.98"
9/19/2008,"2,303.90","2,239.73","2,318.43","2,273.90","2,273.90"
9/18/2008,"2,137.42","2,070.22","2,201.71","2,199.10","2,199.10"
9/17/2008,"2,177.58","2,098.85","2,183.25","2,098.85","2,098.85"
9/16/2008,"2,149.65","2,145.17","2,214.29","2,207.90","2,207.90"
9/15/2008,"2,202.28","2,179.91","2,244.88","2,179.91","2,179.91"
9/12/2008,"2,239.25","2,228.00","2,268.83","2,261.27","2,261.27"
9/11/2008,"2,199.03","2,191.53","2,259.25","2,258.22","2,258.22"
9/10/2008,"2,232.21","2,209.59","2,247.63","2,228.70","2,228.70"
9/9/2008,"2,269.93","2,209.81","2,285.54","2,209.81","2,209.81"
9/8/2008,"2,296.18","2,236.97","2,303.89","2,269.76","2,269.76"
9/5/2008,"2,241.62","2,216.99","2,264.35","2,255.88","2,255.88"
9/4/2008,"2,315.18","2,259.04","2,317.32","2,259.04","2,259.04"
9/3/2008,"2,346.81","2,320.91","2,357.43","2,333.73","2,333.73"
9/2/2008,"2,402.11","2,338.37","2,413.11","2,349.24","2,349.24"
8/29/2008,"2,388.67","2,360.91","2,393.49","2,367.52","2,367.52"
8/28/2008,"2,390.11","2,388.55","2,412.84","2,411.64","2,411.64"
8/27/2008,"2,362.86","2,358.93","2,395.02","2,382.46","2,382.46"
8/26/2008,"2,364.31","2,345.79","2,377.04","2,361.97","2,361.97"
8/25/2008,"2,399.73","2,362.20","2,399.73","2,365.59","2,365.59"
8/22/2008,"2,390.34","2,390.34","2,417.63","2,414.71","2,414.71"
8/21/2008,"2,371.54","2,360.39","2,387.72","2,380.38","2,380.38"
8/20/2008,"2,396.58","2,372.34","2,408.68","2,389.08","2,389.08"
8/19/2008,"2,404.95","2,376.67","2,410.96","2,384.36","2,384.36"
8/18/2008,"2,456.96","2,404.41","2,456.96","2,416.98","2,416.98"
8/15/2008,"2,463.10","2,441.05","2,473.20","2,452.52","2,452.52"
8/14/2008,"2,414.41","2,414.41","2,461.15","2,453.67","2,453.67"
8/13/2008,"2,424.32","2,404.03","2,443.44","2,428.62","2,428.62"
8/12/2008,"2,434.26","2,421.09","2,447.16","2,430.61","2,430.61"
8/11/2008,"2,407.55","2,402.53","2,461.65","2,439.95","2,439.95"
8/8/2008,"2,356.84","2,352.04","2,416.40","2,414.10","2,414.10"
8/7/2008,"2,362.79","2,351.32","2,386.44","2,355.73","2,355.73"
8/6/2008,"2,349.17","2,333.53","2,385.77","2,378.37","2,378.37"
8/5/2008,"2,308.14","2,303.63","2,349.83","2,349.83","2,349.83"
8/4/2008,"2,309.75","2,280.93","2,309.75","2,285.56","2,285.56"
8/1/2008,"2,326.83","2,286.41","2,328.95","2,310.96","2,310.96"
7/31/2008,"2,311.33","2,309.64","2,353.39","2,325.55","2,325.55"
7/30/2008,"2,329.01","2,299.98","2,342.88","2,329.72","2,329.72"
7/29/2008,"2,274.61","2,274.37","2,320.18","2,319.62","2,319.62"
7/28/2008,"2,307.19","2,258.62","2,317.75","2,264.22","2,264.22"
7/25/2008,"2,294.69","2,282.63","2,312.60","2,310.53","2,310.53"
7/24/2008,"2,329.21","2,278.91","2,329.21","2,280.11","2,280.11"
7/23/2008,"2,305.11","2,300.20","2,350.09","2,325.88","2,325.88"
7/22/2008,"2,256.32","2,252.84","2,303.96","2,303.96","2,303.96"
7/21/2008,"2,290.75","2,270.28","2,300.32","2,279.53","2,279.53"
