date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,nasdaq,cac_40,gold_usd,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_core_cpi,Year
2012-09-30,1.287395,1.611375,78.16349999999998,0.93935,79.8755,94.5955,3133.7155,3491.1940000000013,1745.7769999999994,0.25,0.15849999999999995,7.8,11.6,4.6,-1.8,2.0,2012
2012-10-31,1.2970086956521738,1.6072347826086957,79.00695652173913,0.932682608695652,79.73782608695652,89.57086956521738,3051.8895652173906,3435.6682608695646,1744.357391304348,0.25,0.13956521739130434,7.8,11.7,4.1,-3.0,2.0,2012
2012-11-30,1.2838500000000002,1.596368181818182,81.05318181818183,0.9386772727272724,80.69590909090911,86.80272727272728,2942.189090909091,3461.476818181818,1722.8872727272726,0.25,0.12999999999999992,7.7,11.8,4.1,-2.2,1.9,2012
2012-12-31,1.3126761904761903,1.6145333333333336,83.91000000000003,0.9208190476190478,79.74857142857142,88.37571428571428,3003.142857142857,3635.8242857142864,1683.414761904762,0.25,0.12476190476190475,7.9,11.9,4.3,-2.3,1.9,2012
2013-01-31,1.330204347826087,1.5974260869565218,89.0991304347826,0.9238956521739128,79.87130434782608,94.81565217391304,3126.0708695652174,3733.970000000001,1671.2839130434784,0.25,0.13608695652173913,8.0,12.0,4.3,-2.3,1.9,2013
2013-02-28,1.33392,1.5465900000000004,93.1265,0.921575,80.60250000000002,95.38849999999998,3171.4320000000002,3679.440500000001,1626.9254999999996,0.25,0.14300000000000002,7.7,12.0,4.2,-1.6,2.0,2013
2013-03-31,1.2956666666666667,1.5082809523809524,94.87190476190479,0.9464238095238096,82.64142857142858,93.15285714285713,3236.3100000000004,3787.305238095238,1593.6004761904765,0.25,0.1285714285714285,7.5,12.1,3.1,-2.2,1.9,2013
2013-04-30,1.3025136363636365,1.530936363636363,97.75863636363636,0.9366500000000002,82.52409090909092,92.06772727272728,3251.3518181818176,3738.290909090909,1485.0350000000005,0.25,0.12818181818181815,7.6,12.1,3.1,-1.1,1.7,2013
2013-05-31,1.2977869565217388,1.5287043478260869,100.98956521739129,0.9564956521739132,83.21478260869564,94.80869565217392,3442.484782608697,3963.920434782608,1416.589565217391,0.25,0.1195652173913044,7.5,12.1,3.7,-0.1,1.7,2013
2013-06-30,1.3199800000000002,1.5497,97.29299999999999,0.9330899999999998,81.87450000000003,95.8005,3416.7415,3792.534000000001,1342.4710000000002,0.25,0.13199999999999995,7.5,12.1,4.9,-1.4,1.6,2013
2013-07-31,1.309486956521739,1.5187217391304346,99.64304347826088,0.944308695652174,82.81521739130436,104.63434782608697,3556.218260869565,3876.5556521739136,1288.0143478260868,0.25,0.1447826086956522,7.3,12.1,5.3,-0.7,1.7,2013
2013-08-31,1.3318590909090908,1.5505590909090914,97.7959090909091,0.925590909090909,81.48318181818183,106.53909090909092,3639.928636363637,4046.308636363637,1353.675909090909,0.25,0.14999999999999994,7.2,12.0,3.8,-0.3,1.8,2013
2013-09-30,1.3361571428571426,1.5874142857142854,99.19666666666667,0.9232,81.20571428571428,106.34523809523809,3725.611904761905,4117.690476190477,1350.7942857142855,0.25,0.15523809523809526,7.2,12.0,3.0,-0.3,1.7,2013
2013-10-31,1.3638956521739132,1.6090869565217392,97.82869565217396,0.9030478260869568,79.8708695652174,100.55260869565215,3848.202608695653,4228.013913043478,1315.89,0.25,0.1673913043478261,7.2,11.9,3.4,-0.4,1.7,2013
2013-11-30,1.3497571428571429,1.6114190476190478,100.10904761904763,0.912585714285714,80.84523809523809,93.87380952380951,3962.406666666666,4279.88,1275.1814285714286,0.25,0.17571428571428566,6.9,11.9,3.2,1.5,1.7,2013
2013-12-31,1.3703,1.6381681818181824,103.59772727272724,0.8937136363636363,80.32318181818181,97.96954545454544,4080.034545454544,4172.005454545454,1221.5009090909089,0.25,0.2472727272727272,6.7,11.9,3.5,-0.3,1.7,2013
2014-01-31,1.362265217391304,1.647304347826087,103.8765217391304,0.9032739130434784,80.79608695652173,94.88782608695652,4156.974782608697,4247.484782608695,1244.07,0.25,0.2695652173913044,6.6,11.9,1.6,0.9,1.6,2014
