date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,snp_500,dow_jones,nasdaq,euro_n100,cac_40,dax,gold_usd,brent_crude,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_indus,eu_indus,us_core_cpi,eu_core_cpi,us_cpi,eu_cpi
2007-07-31,1.3721045454545455,2.034431818181819,121.46363636363635,1.2072409090909093,80.80909090909091,74.04409090909091,1520.9181818181817,13673.322272727271,2655.0527272727268,1054.38,5973.486363636364,7888.851363636364,665.5749999999999,75.81772727272727,5.25,4.217727272727273,4.7,7.5,2.9,2.0,2.6,4.0,2.2,1.9,2.4,1.8
2007-08-31,1.3618913043478258,2.0109956521739134,116.79043478260868,1.2035913043478264,80.93478260869566,72.3586956521739,1454.616956521739,13239.712173913042,2539.467826086957,981.7739130434783,5534.743913043479,7463.643478260869,665.891304347826,71.24347826086958,5.25,4.549999999999999,4.6,7.5,2.9,2.2,2.4,4.8,2.1,1.9,2.0,1.7
2007-09-30,1.391875,2.019725,115.11300000000001,1.184785,79.37949999999998,79.39899999999999,1496.7315,13547.689000000002,2634.2585,997.155,5597.1695,7638.450000000002,713.62,76.96300000000001,4.8,4.743000000000001,4.7,7.4,4.1,1.9,2.9,3.7,2.1,1.8,2.8,2.1
2007-10-31,1.4233695652173914,2.0453130434782607,115.92304347826085,1.1743565217391307,77.84782608695652,85.6582608695652,1539.6586956521737,13901.280434782606,2780.4156521739133,1034.474347826087,5793.71695652174,7950.703478260871,756.8826086956523,82.47521739130433,4.510869565217392,4.680434782608694,4.7,7.3,4.6,1.3,2.5,4.7,2.2,1.9,3.5,2.6
2007-11-30,1.4680590909090911,2.071,110.92090909090908,1.122940909090909,75.63818181818179,94.79272727272728,1462.3540909090912,13182.325909090909,2659.793181818182,989.570909090909,5565.341363636364,7715.145909090908,806.2122727272726,92.20409090909091,4.5,4.638181818181818,4.7,7.3,5.3,0.7,3.1,3.2,2.3,1.9,4.3,3.1
2007-12-31,1.4552285714285715,2.0149190476190477,112.47,1.140514285714286,76.8004761904762,91.9438095238095,1480.1061904761905,13413.76761904762,2664.5419047619043,994.6704761904759,5619.879047619047,7956.065714285714,807.1009523809523,91.47619047619048,4.261904761904762,4.838571428571429,5.0,7.3,3.0,-0.9,2.0,1.6,2.4,1.9,4.1,3.1
2008-01-31,1.4715565217391307,1.969895652173913,107.88260869565218,1.1015304347826087,75.97869565217393,93.08608695652175,1378.77,12550.638695652171,2420.950869565217,913.5952173913045,5170.818695652171,7350.847391304349,888.3299999999998,91.99739130434781,3.4130434782608696,4.489565217391304,5.0,7.3,3.3,1.6,2.2,3.8,2.5,1.8,4.3,3.2
2008-02-29,1.4758904761904763,1.9639857142857144,107.11,1.089395238095238,75.69809523809523,95.57095238095238,1354.5823809523808,12416.169523809524,2324.8909523809525,861.8595238095239,4845.170000000001,6886.684285714286,925.566666666667,94.66476190476192,3.0,4.3652380952380945,4.9,7.3,2.1,1.5,0.9,3.0,2.3,1.8,4.0,3.3
2008-03-31,1.552785714285714,2.0010999999999997,100.79857142857142,1.0114571428571426,72.47,105.20285714285713,1318.5114285714287,12201.850476190479,2258.243333333334,825.9476190476191,4645.934285714286,6501.9857142857145,960.8809523809524,102.71095238095238,2.2857142857142856,4.606190476190475,5.1,7.3,1.2,-1.6,0.4,1.8,2.4,2.0,4.0,3.6
2008-04-30,1.5762545454545454,1.9815181818181815,102.68818181818182,1.0140136363636363,72.10545454545455,112.46272727272729,1370.4690909090907,12656.632727272727,2368.099545454546,869.9018181818182,4900.191818181818,6762.712727272728,910.3454545454545,110.42954545454546,2.0113636363636362,4.782727272727272,5.0,7.4,2.1,-1.2,-1.0,4.3,2.3,1.7,3.9,3.3
2008-05-31,1.556081818181818,1.9662227272727273,104.32181818181817,1.0442272727272728,72.86681818181819,125.61272727272726,1402.4054545454544,12797.351818181818,2483.1499999999996,894.054090909091,5022.434090909091,7055.534090909091,890.8045454545456,124.68136363636363,2.0,4.8563636363636355,5.4,7.4,1.3,0.8,-1.6,-0.8,2.3,1.7,4.2,3.7
2008-06-30,1.5570047619047618,1.967538095238095,106.88142857142859,1.0359952380952382,73.17952380952381,134.0157142857143,1341.2509523809526,12056.665238095236,2427.4542857142856,831.157142857143,4664.552380952381,6716.835714285715,890.5466666666666,133.74380952380952,2.0,4.939523809523808,5.6,7.5,2.4,-1.7,-1.7,-0.4,2.4,1.8,5.0,4.0
2008-07-31,1.5765347826086957,1.9897130434782604,106.87434782608696,1.027813043478261,72.54565217391304,133.82739130434783,1257.108260869565,11320.904347826086,2276.6234782608694,749.2195652173913,4287.1904347826085,6341.488260869564,940.021304347826,134.56478260869568,2.0,4.957826086956519,5.8,7.5,1.4,-1.5,-2.2,-1.1,2.5,1.7,5.6,4.0
2008-08-31,1.495338095238095,1.8868333333333336,109.4204761904762,1.0843714285714288,76.06095238095239,116.68809523809526,1281.472380952381,11530.746190476188,2389.267142857143,768.3847619047618,4409.883333333334,6421.488095238095,836.8385714285714,115.23619047619047,2.0,4.959523809523809,6.1,7.6,0.3,-1.5,-3.8,-1.4,2.5,1.9,5.4,3.8
2008-09-30,1.436422727272727,1.7998227272727276,106.62136363636364,1.1091727272727274,78.2359090909091,104.0340909090909,1219.7618181818182,11133.603636363638,2212.184545454546,735.0118181818181,4220.489090909091,6135.59409090909,828.8018181818181,100.785,2.0,5.015000000000001,6.1,7.7,-1.6,-0.6,-8.4,-2.9,2.5,1.9,4.9,3.6
2008-10-31,1.3283391304347825,1.6895086956521739,100.14043478260868,1.142717391304348,83.11086956521739,76.72391304347826,968.8008695652173,9176.714347826086,1730.3195652173906,591.0065217391304,3474.6669565217403,4946.9513043478255,805.0573913043478,73.68434782608696,1.1521739130434783,5.105652173913042,6.5,7.8,-6.0,-1.8,-7.1,-5.8,2.2,1.9,3.7,3.2
