 Date,DAX_EC Open,DAX_EC Low,DAX_EC High,DAX_EC Close,DAX_EC Adj. Close,DAX_EC SMA (200D),DAX_EC SMA (50D)
6/27/2019,"12,308.26","12,209.34","12,334.57","12,271.03","12,271.03","11,605.30","12,137.63"
6/26/2019,"12,210.52","12,189.49","12,315.84","12,245.32","12,245.32","11,603.75","12,132.61"
6/25/2019,"12,226.88","12,213.41","12,284.57","12,228.44","12,228.44","11,602.29","12,127.71"
6/24/2019,"12,308.11","12,250.71","12,341.56","12,274.57","12,274.57","11,601.35","12,121.84"
6/21/2019,"12,351.98","12,316.41","12,425.20","12,339.92","12,339.92","11,601.03","12,114.47"
6/20/2019,"12,409.58","12,355.39","12,438.37","12,355.39","12,355.39","11,601.07","12,104.68"
6/19/2019,"12,321.43","12,291.19","12,346.70","12,308.53","12,308.53","11,601.11","12,096.84"
6/18/2019,"12,069.37","11,987.55","12,358.00","12,331.75","12,331.75","11,602.04","12,090.87"
6/17/2019,"12,112.47","12,059.92","12,124.68","12,085.82","12,085.82","11,603.19","12,083.99"
6/14/2019,"12,124.36","12,049.76","12,136.65","12,096.40","12,096.40","11,605.40","12,081.36"
6/13/2019,"12,095.21","12,079.60","12,201.78","12,169.05","12,169.05","11,607.60","12,074.53"
6/12/2019,"12,093.98","12,068.11","12,132.28","12,115.68","12,115.68","11,608.73","12,064.79"
6/11/2019,"12,133.60","12,117.34","12,227.40","12,155.81","12,155.81","11,609.98","12,053.00"
6/10/2019,"12,078.35","12,066.35","12,117.45","12,114.55","12,114.55","11,611.13","12,038.44"
6/7/2019,"12,003.92","11,987.17","12,096.61","12,045.38","12,045.38","11,612.48","12,024.53"
6/6/2019,"11,987.92","11,899.82","12,076.95","11,953.14","11,953.14","11,613.91","12,012.01"
6/5/2019,"11,981.18","11,928.87","12,057.73","11,980.81","11,980.81","11,615.20","11,999.89"
6/4/2019,"11,716.55","11,713.87","11,987.89","11,971.17","11,971.17","11,616.48","11,987.55"
6/3/2019,"11,661.12","11,620.64","11,793.63","11,792.81","11,792.81","11,617.44","11,979.13"
5/31/2019,"11,742.21","11,662.07","11,755.12","11,726.84","11,726.84","11,620.27","11,975.35"
5/30/2019,"11,885.07","11,858.29","11,924.66","11,902.08","11,902.08","11,623.43","11,976.58"
5/29/2019,"11,906.02","11,828.75","11,927.64","11,837.81","11,837.81","11,626.04","11,971.68"
5/28/2019,"12,100.39","11,992.41","12,113.31","12,027.05","12,027.05","11,630.23","11,968.64"
5/27/2019,"12,077.88","12,050.49","12,124.55","12,071.18","12,071.18","11,633.26","11,959.85"
5/24/2019,"12,027.31","11,990.79","12,082.05","12,011.04","12,011.04","11,636.15","11,949.87"
5/23/2019,"12,064.29","11,926.34","12,082.75","11,952.41","11,952.41","11,639.08","11,940.13"
5/22/2019,"12,141.46","12,055.50","12,211.03","12,168.74","12,168.74","11,642.40","11,931.96"
5/21/2019,"12,111.80","12,066.90","12,178.25","12,143.47","12,143.47","11,644.29","11,917.74"
5/20/2019,"12,226.85","11,993.91","12,246.50","12,041.29","12,041.29","11,647.26","11,905.22"
5/17/2019,"12,252.68","12,150.33","12,270.89","12,238.94","12,238.94","11,651.08","11,896.15"
5/16/2019,"12,077.36","12,030.30","12,310.37","12,310.37","12,310.37","11,653.87","11,883.79"
5/15/2019,"12,018.45","11,862.21","12,099.57","12,099.57","12,099.57","11,656.62","11,869.43"
5/14/2019,"11,908.77","11,897.93","11,991.83","11,991.62","11,991.62","11,660.17","11,859.47"
5/13/2019,"12,044.10","11,844.47","12,052.93","11,876.65","11,876.65","11,663.11","11,849.96"
5/10/2019,"12,105.28","12,009.75","12,140.61","12,059.83","12,059.83","11,667.18","11,842.17"
5/9/2019,"12,098.02","11,957.31","12,125.96","11,973.92","11,973.92","11,669.62","11,831.79"
5/8/2019,"12,110.87","12,063.74","12,208.48","12,179.93","12,179.93","11,672.56","11,822.42"
5/7/2019,"12,298.71","12,056.80","12,319.05","12,092.74","12,092.74","11,675.09","11,807.97"
5/6/2019,"12,171.90","12,135.42","12,298.66","12,286.88","12,286.88","11,678.45","11,794.58"
5/3/2019,"12,345.32","12,344.23","12,435.67","12,412.75","12,412.75","11,680.33","11,776.89"
5/2/2019,"12,349.10","12,303.96","12,402.87","12,345.42","12,345.42","11,681.07","11,754.81"
4/30/2019,"12,313.97","12,281.72","12,345.31","12,344.08","12,344.08","11,682.05","11,733.89"
4/29/2019,"12,308.98","12,266.34","12,376.06","12,328.02","12,328.02","11,682.79","11,713.00"
4/26/2019,"12,284.46","12,259.76","12,323.64","12,315.18","12,315.18","11,683.24","11,688.24"
4/25/2019,"12,304.53","12,236.14","12,321.79","12,282.60","12,282.60","11,684.71","11,665.28"
4/24/2019,"12,232.99","12,223.98","12,349.83","12,313.16","12,313.16","11,686.02","11,642.15"
