 Date,SPX Open,SPX Low,SPX High,SPX Close,SPX Adj. Close
9/30/2015,"1,887.14","1,887.14","1,920.53","1,920.03","1,920.03"
9/29/2015,"1,881.90","1,871.91","1,899.48","1,884.09","1,884.09"
9/28/2015,"1,929.18","1,879.21","1,929.18","1,881.77","1,881.77"
9/25/2015,"1,935.93","1,921.50","1,952.89","1,931.34","1,931.34"
9/24/2015,"1,934.81","1,908.92","1,937.17","1,932.24","1,932.24"
9/23/2015,"1,943.24","1,932.57","1,949.52","1,938.76","1,938.76"
9/22/2015,"1,961.39","1,929.22","1,961.39","1,942.74","1,942.74"
9/21/2015,"1,960.84","1,955.80","1,979.64","1,966.97","1,966.97"
9/18/2015,"1,989.66","1,953.45","1,989.66","1,958.03","1,958.03"
9/17/2015,"1,995.33","1,986.73","2,020.86","1,990.20","1,990.20"
9/16/2015,"1,978.02","1,977.93","1,997.26","1,995.31","1,995.31"
9/15/2015,"1,955.10","1,954.30","1,983.19","1,978.09","1,978.09"
9/14/2015,"1,963.06","1,948.27","1,963.06","1,953.03","1,953.03"
9/11/2015,"1,951.45","1,939.19","1,961.05","1,961.05","1,961.05"
9/10/2015,"1,941.59","1,937.19","1,965.29","1,952.29","1,952.29"
9/9/2015,"1,971.45","1,937.88","1,988.63","1,942.04","1,942.04"
9/8/2015,"1,927.30","1,927.30","1,970.42","1,969.41","1,969.41"
9/4/2015,"1,947.76","1,911.21","1,947.76","1,921.22","1,921.22"
9/3/2015,"1,950.79","1,944.72","1,975.01","1,951.13","1,951.13"
9/2/2015,"1,916.52","1,916.52","1,948.91","1,948.86","1,948.86"
9/1/2015,"1,970.09","1,903.07","1,970.09","1,913.85","1,913.85"
8/31/2015,"1,986.73","1,965.98","1,986.73","1,972.18","1,972.18"
8/28/2015,"1,986.06","1,975.19","1,993.48","1,988.87","1,988.87"
8/27/2015,"1,942.77","1,942.77","1,989.60","1,987.66","1,987.66"
8/26/2015,"1,872.75","1,872.75","1,943.09","1,940.51","1,940.51"
8/25/2015,"1,898.08","1,867.08","1,948.04","1,867.61","1,867.61"
8/24/2015,"1,965.15","1,867.01","1,965.15","1,893.21","1,893.21"
8/21/2015,"2,034.08","1,970.89","2,034.08","1,970.89","1,970.89"
8/20/2015,"2,076.61","2,035.73","2,076.61","2,035.73","2,035.73"
8/19/2015,"2,095.69","2,070.53","2,096.17","2,079.61","2,079.61"
8/18/2015,"2,101.99","2,094.14","2,103.47","2,096.92","2,096.92"
8/17/2015,"2,089.70","2,079.30","2,102.87","2,102.44","2,102.44"
8/14/2015,"2,083.15","2,080.61","2,092.45","2,091.54","2,091.54"
8/13/2015,"2,086.19","2,078.26","2,092.93","2,083.39","2,083.39"
8/12/2015,"2,081.10","2,052.09","2,089.06","2,086.05","2,086.05"
8/11/2015,"2,102.66","2,076.49","2,102.66","2,084.07","2,084.07"
8/10/2015,"2,080.98","2,080.98","2,105.35","2,104.18","2,104.18"
8/7/2015,"2,082.61","2,067.91","2,082.61","2,077.57","2,077.57"
8/6/2015,"2,100.75","2,075.53","2,103.32","2,083.56","2,083.56"
8/5/2015,"2,095.27","2,095.27","2,112.66","2,099.84","2,099.84"
8/4/2015,"2,097.68","2,088.60","2,102.51","2,093.32","2,093.32"
8/3/2015,"2,104.49","2,087.31","2,105.70","2,098.04","2,098.04"
7/31/2015,"2,111.60","2,102.07","2,114.24","2,103.84","2,103.84"
7/30/2015,"2,106.78","2,094.97","2,110.48","2,108.63","2,108.63"
7/29/2015,"2,094.70","2,094.08","2,110.60","2,108.57","2,108.57"
7/28/2015,"2,070.75","2,069.09","2,095.60","2,093.25","2,093.25"
7/27/2015,"2,078.19","2,063.52","2,078.19","2,067.64","2,067.64"
7/24/2015,"2,102.24","2,077.09","2,106.01","2,079.65","2,079.65"
7/23/2015,"2,114.16","2,098.63","2,116.87","2,102.15","2,102.15"
7/22/2015,"2,118.21","2,110.00","2,118.51","2,114.15","2,114.15"
7/21/2015,"2,127.55","2,115.40","2,128.49","2,119.21","2,119.21"
7/20/2015,"2,126.85","2,123.65","2,132.82","2,128.28","2,128.28"
7/17/2015,"2,126.80","2,119.88","2,128.91","2,126.64","2,126.64"
7/16/2015,"2,110.55","2,110.55","2,124.42","2,124.29","2,124.29"
7/15/2015,"2,109.01","2,102.49","2,114.14","2,107.40","2,107.40"
7/14/2015,"2,099.72","2,098.18","2,111.98","2,108.95","2,108.95"
7/13/2015,"2,080.03","2,080.03","2,100.67","2,099.60","2,099.60"
7/10/2015,"2,052.74","2,052.74","2,081.31","2,076.62","2,076.62"
7/9/2015,"2,049.73","2,049.73","2,074.28","2,051.31","2,051.31"
7/8/2015,"2,077.66","2,044.66","2,077.66","2,046.68","2,046.68"
7/7/2015,"2,069.52","2,044.02","2,083.74","2,081.34","2,081.34"
7/6/2015,"2,073.95","2,058.40","2,078.61","2,068.76","2,068.76"
7/2/2015,"2,078.03","2,071.02","2,085.06","2,076.78","2,076.78"
7/1/2015,"2,067.00","2,067.00","2,082.78","2,077.42","2,077.42"
6/30/2015,"2,061.19","2,056.32","2,074.28","2,063.11","2,063.11"
6/29/2015,"2,098.63","2,056.64","2,098.63","2,057.64","2,057.64"
6/26/2015,"2,102.62","2,095.38","2,108.92","2,101.49","2,101.49"
6/25/2015,"2,109.96","2,101.78","2,116.04","2,102.31","2,102.31"
6/24/2015,"2,123.65","2,108.58","2,125.10","2,108.58","2,108.58"
6/23/2015,"2,123.16","2,119.89","2,128.03","2,124.20","2,124.20"
6/22/2015,"2,112.50","2,112.50","2,129.87","2,122.85","2,122.85"
6/19/2015,"2,121.06","2,109.45","2,121.64","2,109.99","2,109.99"
6/18/2015,"2,101.58","2,101.58","2,126.65","2,121.24","2,121.24"
6/17/2015,"2,097.40","2,088.86","2,106.79","2,100.44","2,100.44"
6/16/2015,"2,084.26","2,082.10","2,097.40","2,096.29","2,096.29"
6/15/2015,"2,091.34","2,072.49","2,091.34","2,084.43","2,084.43"
6/12/2015,"2,107.43","2,091.33","2,107.43","2,094.11","2,094.11"
6/11/2015,"2,106.24","2,106.24","2,115.02","2,108.86","2,108.86"
6/10/2015,"2,081.12","2,081.12","2,108.50","2,105.20","2,105.20"
6/9/2015,"2,079.07","2,072.14","2,085.62","2,080.15","2,080.15"
6/8/2015,"2,092.34","2,079.11","2,093.01","2,079.28","2,079.28"
6/5/2015,"2,095.09","2,085.67","2,100.99","2,092.83","2,092.83"
6/4/2015,"2,112.35","2,093.23","2,112.89","2,095.84","2,095.84"
6/3/2015,"2,110.64","2,109.61","2,121.92","2,114.07","2,114.07"
6/2/2015,"2,110.41","2,099.14","2,117.59","2,109.60","2,109.60"
6/1/2015,"2,108.64","2,102.54","2,119.15","2,111.73","2,111.73"
5/29/2015,"2,120.66","2,104.89","2,120.66","2,107.39","2,107.39"
5/28/2015,"2,122.27","2,112.86","2,122.27","2,120.79","2,120.79"
5/27/2015,"2,105.13","2,105.13","2,126.22","2,123.48","2,123.48"
