 Date,INDU_EC Open,INDU_EC Low,INDU_EC High,INDU_EC Close,INDU_EC Adj. Close
6/21/2007,"13,486.66","13,398.87","13,564.21","13,545.84","13,545.84"
6/20/2007,"13,636.56","13,483.25","13,674.36","13,489.42","13,489.42"
6/19/2007,"13,611.68","13,577.22","13,652.17","13,635.42","13,635.42"
6/18/2007,"13,639.00","13,608.76","13,667.94","13,612.98","13,612.98"
6/15/2007,"13,556.65","13,556.49","13,688.66","13,639.48","13,639.48"
6/14/2007,"13,482.43","13,479.35","13,581.61","13,553.72","13,553.72"
6/13/2007,"13,287.62","13,287.62","13,485.12","13,482.35","13,482.35"
6/12/2007,"13,424.39","13,294.61","13,449.50","13,295.01","13,295.01"
6/11/2007,"13,423.74","13,381.64","13,478.11","13,424.96","13,424.96"
6/8/2007,"13,267.14","13,251.53","13,431.22","13,424.39","13,424.39"
6/7/2007,"13,463.48","13,259.82","13,480.22","13,266.73","13,266.73"
6/6/2007,"13,590.66","13,437.31","13,591.07","13,465.67","13,465.67"
6/5/2007,"13,673.19","13,551.00","13,673.51","13,595.46","13,595.46"
6/4/2007,"13,667.21","13,618.78","13,690.38","13,676.32","13,676.32"
6/1/2007,"13,628.69","13,624.39","13,692.00","13,668.11","13,668.11"
5/31/2007,"13,633.00","13,614.72","13,673.07","13,627.64","13,627.64"
5/30/2007,"13,517.89","13,456.73","13,636.09","13,633.08","13,633.08"
5/29/2007,"13,507.28","13,465.35","13,564.66","13,521.34","13,521.34"
5/28/2007,"13,507.28","13,507.28","13,507.28","13,507.28","13,507.28"
5/25/2007,"13,441.94","13,440.07","13,516.14","13,507.28","13,507.28"
5/24/2007,"13,522.60","13,423.90","13,624.55","13,441.13","13,441.13"
5/23/2007,"13,540.84","13,505.17","13,609.76","13,525.65","13,525.65"
5/22/2007,"13,544.99","13,528.98","13,586.68","13,539.95","13,539.95"
5/21/2007,"13,556.53","13,529.14","13,586.03","13,542.88","13,542.88"
5/18/2007,"13,476.40","13,476.40","13,558.48","13,556.53","13,556.53"
5/17/2007,"13,486.96","13,447.79","13,516.71","13,476.73","13,476.73"
5/16/2007,"13,374.13","13,363.93","13,489.57","13,487.53","13,487.53"
5/15/2007,"13,346.05","13,339.47","13,481.60","13,383.84","13,383.84"
5/14/2007,"13,325.81","13,297.04","13,383.76","13,346.78","13,346.78"
5/11/2007,"13,212.20","13,212.04","13,333.45","13,326.22","13,326.22"
5/10/2007,"13,359.05","13,210.90","13,359.13","13,215.13","13,215.13"
5/9/2007,"13,300.62","13,278.35","13,369.29","13,362.87","13,362.87"
5/8/2007,"13,309.40","13,237.56","13,314.43","13,309.07","13,309.07"
5/7/2007,"13,264.13","13,260.80","13,317.69","13,312.97","13,312.97"
5/4/2007,"13,243.08","13,228.78","13,284.53","13,264.62","13,264.62"
5/3/2007,"13,206.65","13,196.03","13,246.82","13,241.38","13,241.38"
5/2/2007,"13,133.94","13,130.53","13,256.33","13,211.88","13,211.88"
5/1/2007,"13,062.75","13,041.30","13,137.76","13,136.14","13,136.14"
4/30/2007,"13,120.21","13,061.53","13,162.06","13,062.91","13,062.91"
4/27/2007,"13,104.04","13,073.40","13,148.00","13,120.94","13,120.94"
4/26/2007,"13,088.84","13,068.12","13,132.80","13,105.50","13,105.50"
4/25/2007,"12,951.42","12,951.42","13,107.45","13,089.89","13,089.89"
4/24/2007,"12,919.64","12,901.68","12,989.86","12,953.94","12,953.94"
4/23/2007,"12,961.49","12,916.63","12,983.92","12,919.40","12,919.40"
4/20/2007,"12,811.15","12,810.17","12,966.29","12,961.98","12,961.98"
4/19/2007,"12,799.77","12,734.92","12,830.08","12,808.63","12,808.63"
4/18/2007,"12,771.08","12,728.99","12,838.46","12,803.84","12,803.84"
4/17/2007,"12,719.56","12,707.45","12,790.02","12,773.04","12,773.04"
