 Date,GBPUSD Open,GBPUSD Low,GBPUSD High,GBPUSD Close,GBPUSD Adj. Close
12/18/2018,1.2625,1.2611,1.2704,1.2637,1.2637
12/17/2018,1.2583,1.2575,1.2645,1.2613,1.2613
12/14/2018,1.2657,1.2536,1.2664,1.2581,1.2581
12/13/2018,1.2635,1.2611,1.2685,1.2664,1.2664
12/12/2018,1.2486,1.2479,1.2671,1.2671,1.2671
12/11/2018,1.2567,1.2482,1.2633,1.2499,1.2499
12/10/2018,1.2711,1.2509,1.2754,1.2559,1.2559
12/7/2018,1.2783,1.2713,1.2797,1.2742,1.2742
12/6/2018,1.2734,1.2702,1.28,1.2787,1.2787
12/5/2018,1.272,1.2673,1.2794,1.2731,1.2731
12/4/2018,1.2724,1.2667,1.2835,1.271,1.271
12/3/2018,1.2743,1.2701,1.2824,1.2728,1.2728
11/30/2018,1.2791,1.2736,1.2805,1.2743,1.2743
11/29/2018,1.2826,1.2756,1.285,1.2781,1.2781
11/28/2018,1.2745,1.2733,1.2845,1.2827,1.2827
11/27/2018,1.2811,1.2728,1.2819,1.2734,1.2734
11/26/2018,1.2826,1.2797,1.2862,1.2812,1.2812
11/23/2018,1.2877,1.28,1.2882,1.2815,1.2815
11/22/2018,1.2776,1.2771,1.2923,1.2879,1.2879
11/21/2018,1.2787,1.2764,1.2819,1.2774,1.2774
11/20/2018,1.2856,1.2777,1.2881,1.2785,1.2785
11/19/2018,1.2842,1.2803,1.288,1.2851,1.2851
11/16/2018,1.2775,1.2763,1.2877,1.2829,1.2829
11/15/2018,1.2986,1.2731,1.3028,1.2778,1.2778
11/14/2018,1.2986,1.2893,1.3064,1.3012,1.3012
11/13/2018,1.2849,1.2843,1.3039,1.2956,1.2956
11/12/2018,1.2925,1.2828,1.2946,1.2853,1.2853
11/9/2018,1.3059,1.296,1.3072,1.2967,1.2967
11/8/2018,1.3126,1.305,1.315,1.3061,1.3061
11/7/2018,1.31,1.3074,1.3174,1.3137,1.3137
11/6/2018,1.3038,1.3022,1.3099,1.3098,1.3098
11/5/2018,1.3022,1.2966,1.3049,1.304,1.304
11/2/2018,1.3014,1.2953,1.304,1.297,1.297
11/1/2018,1.2766,1.2763,1.3022,1.3004,1.3004
10/31/2018,1.2701,1.2701,1.2826,1.2765,1.2765
10/30/2018,1.2799,1.2698,1.2812,1.2707,1.2707
10/29/2018,1.2826,1.2793,1.2851,1.2793,1.2793
10/26/2018,1.2817,1.2778,1.284,1.2832,1.2832
10/25/2018,1.288,1.2799,1.2916,1.2817,1.2817
10/24/2018,1.2984,1.2868,1.2992,1.2882,1.2882
10/23/2018,1.2964,1.294,1.304,1.2983,1.2983
10/22/2018,1.3069,1.2958,1.3089,1.296,1.296
