 Date,N100 Open,N100 Low,N100 High,N100 Close,N100 Adj. Close,N100 SMA (200D),N100 SMA (50D)
2/8/2019,979.92,971.34,982.16,973.75,973.75,"1,017.65",944.58
2/7/2019,994.89,980.16,996.6,980.16,980.16,"1,018.08",944.52
2/6/2019,992.53,992.13,997.39,996.36,996.36,"1,018.46",944.34
2/5/2019,980.16,977.75,995.68,995.68,995.68,"1,018.72",943.65
2/4/2019,978.36,973.14,979.39,978.39,978.39,"1,019.02",942.95
2/1/2019,975.88,971.85,978.85,978.22,978.22,"1,019.39",942.74
1/31/2019,973.26,966.11,976.26,973.1,973.1,"1,019.75",942.34
1/30/2019,962.57,962.57,970.21,969.21,969.21,"1,020.13",942.32
1/29/2019,953.73,951.83,963.82,960.17,960.17,"1,020.53",942.55
1/28/2019,957.75,951.21,958.98,953.09,953.09,"1,020.95",943.14
1/25/2019,958.04,957.24,962.7,961.78,961.78,"1,021.37",943.84
1/24/2019,948.19,946.91,954.95,953.32,953.32,"1,021.75",944.47
1/23/2019,944.83,942.62,954.23,947.87,947.87,"1,022.17",945.13
1/22/2019,947.54,944.21,951.84,948.1,948.1,"1,022.59",946.06
1/21/2019,951.6,950.82,953.12,952.28,952.28,"1,023.03",947.06
1/18/2019,942.01,941.76,953.9,953.23,953.23,"1,023.42",947.99
1/17/2019,933.07,931.26,937.16,935.64,935.64,"1,023.79",948.66
1/16/2019,938.54,933.16,938.94,937.09,937.09,"1,024.26",949.73
1/15/2019,936.51,928.66,939.63,934.57,934.57,"1,024.61",950.81
1/14/2019,928.37,925.02,931.59,929.3,929.3,"1,024.97",951.87
1/11/2019,938.25,936.54,938.87,938.72,938.72,"1,025.39",953
1/10/2019,930.76,926.67,936.11,936.11,936.11,"1,025.73",953.55
1/9/2019,936.54,932.87,941.02,935.59,935.59,"1,026.06",954.2
1/8/2019,920.26,919.52,935.64,929.3,929.3,"1,026.33",954.78
1/7/2019,924.81,914.41,925.39,919.66,919.66,"1,026.67",955.69
1/4/2019,904.8,902.12,923.19,921.3,921.3,"1,027.12",956.65
1/3/2019,901.67,896.65,905.77,897.45,897.45,"1,027.63",957.6
1/2/2019,902.05,894.56,912.52,910.35,910.35,"1,028.27",959.39
12/31/2018,911.43,909.8,916.27,915.4,915.4,"1,028.81",961.06
12/28/2018,899.42,896.37,910.93,906.88,906.88,"1,029.38",962.68
12/27/2018,910.01,884.35,910.11,891.81,891.81,"1,029.98",964.56
12/24/2018,900.33,897.54,904.41,897.67,897.67,"1,030.63",966.82
12/21/2018,906.89,897.45,910.1,909.69,909.69,"1,031.26",968.63
12/20/2018,914.36,910.07,917.98,910.69,910.69,"1,031.87",970.21
12/19/2018,924.13,923.51,929.83,927.67,927.67,"1,032.47",971.8
12/18/2018,927.03,923.27,931.33,923.59,923.59,"1,032.96",973.42
12/17/2018,940.78,929.97,941.45,932.09,932.09,"1,033.41",975.57
12/14/2018,942.3,935.79,946.63,943.28,943.28,"1,033.79",977.49
12/13/2018,955.84,948.55,957.27,950.61,950.61,"1,034.11",979.4
12/12/2018,940.13,939.52,956.24,953.1,953.1,"1,034.34",981.34
12/11/2018,929.48,927.77,942.97,935.15,935.15,"1,034.67",983.56
12/10/2018,933.84,920.84,935.85,922.8,922.8,"1,035.14",985.99
12/7/2018,937.15,936.91,949.24,938.08,938.08,"1,035.68",988.8
12/6/2018,954.35,926.83,954.35,930.17,930.17,"1,036.16",991.26
12/5/2018,966.48,962.54,968.95,963.11,963.11,"1,036.64",994.04
12/4/2018,980.77,975.87,981.61,975.92,975.92,"1,036.95",996.11
12/3/2018,993.74,981.93,993.92,983.2,983.2,"1,037.18",997.85
11/30/2018,976.02,969.05,976.28,973.2,973.2,"1,037.38",999.39
11/29/2018,978.46,972.29,980.86,974.89,974.89,"1,037.59","1,001.21"
11/28/2018,973.29,969.3,974.95,970.26,970.26,"1,037.82","1,002.86"
11/27/2018,970.8,964.12,974.09,970.51,970.51,"1,038.02","1,004.40"
11/26/2018,968.85,966.43,975.52,971.23,971.23,"1,038.17","1,005.91"
11/23/2018,960.68,955.96,965.67,962.11,962.11,"1,038.28","1,007.33"
11/22/2018,965.44,959.8,965.61,960.44,960.44,"1,038.46","1,008.94"
11/21/2018,962.29,959.64,968.91,968.23,968.23,"1,038.60","1,010.51"
11/20/2018,967.38,952.57,968.54,957.83,957.83,"1,038.76","1,011.94"
11/19/2018,983.67,971.73,987.62,972.34,972.34,"1,039.08","1,013.47"
11/16/2018,988.53,973.75,991.14,980.75,980.75,"1,039.23","1,014.69"
11/15/2018,992.74,988.69,995.21,989.38,989.38,"1,039.47","1,015.66"
